ccode,year
679,1994
690,1994
692,1994
694,1994
696,1994
698,1994
700,1994
701,1994
702,1994
703,1994
704,1994
705,1994
710,1994
712,1994
713,1994
731,1994
732,1994
740,1994
750,1994
760,1994
770,1994
771,1994
775,1994
780,1994
781,1994
790,1994
800,1994
811,1994
812,1994
816,1994
820,1994
830,1994
835,1994
840,1994
850,1994
900,1994
910,1994
920,1994
935,1994
940,1994
950,1994
983,1994
986,1994
987,1994
990,1994
2,1995
20,1995
31,1995
40,1995
41,1995
42,1995
51,1995
52,1995
53,1995
54,1995
55,1995
56,1995
57,1995
58,1995
60,1995
70,1995
80,1995
90,1995
91,1995
92,1995
93,1995
94,1995
95,1995
100,1995
101,1995
110,1995
115,1995
130,1995
135,1995
140,1995
145,1995
150,1995
155,1995
160,1995
165,1995
200,1995
205,1995
210,1995
211,1995
212,1995
220,1995
221,1995
223,1995
225,1995
230,1995
232,1995
235,1995
255,1995
290,1995
305,1995
310,1995
316,1995
317,1995
325,1995
331,1995
338,1995
339,1995
343,1995
344,1995
345,1995
346,1995
349,1995
350,1995
352,1995
355,1995
359,1995
360,1995
365,1995
366,1995
367,1995
368,1995
369,1995
370,1995
371,1995
372,1995
373,1995
375,1995
380,1995
385,1995
390,1995
395,1995
402,1995
403,1995
404,1995
411,1995
420,1995
432,1995
433,1995
434,1995
435,1995
436,1995
437,1995
438,1995
439,1995
450,1995
451,1995
452,1995
461,1995
471,1995
475,1995
481,1995
482,1995
483,1995
484,1995
490,1995
500,1995
501,1995
510,1995
516,1995
517,1995
520,1995
522,1995
530,1995
531,1995
540,1995
541,1995
551,1995
552,1995
553,1995
560,1995
565,1995
570,1995
571,1995
572,1995
580,1995
581,1995
590,1995
591,1995
600,1995
615,1995
616,1995
620,1995
625,1995
630,1995
640,1995
645,1995
651,1995
652,1995
660,1995
663,1995
666,1995
670,1995
679,1995
690,1995
692,1995
694,1995
696,1995
698,1995
700,1995
701,1995
702,1995
703,1995
704,1995
705,1995
710,1995
712,1995
713,1995
731,1995
732,1995
740,1995
750,1995
760,1995
770,1995
771,1995
775,1995
780,1995
781,1995
790,1995
800,1995
811,1995
812,1995
816,1995
820,1995
830,1995
835,1995
840,1995
850,1995
900,1995
910,1995
920,1995
935,1995
940,1995
950,1995
983,1995
986,1995
987,1995
990,1995
2,1996
20,1996
31,1996
40,1996
41,1996
42,1996
51,1996
52,1996
53,1996
54,1996
55,1996
56,1996
57,1996
58,1996
60,1996
70,1996
80,1996
90,1996
91,1996
92,1996
93,1996
94,1996
95,1996
100,1996
101,1996
110,1996
115,1996
130,1996
135,1996
140,1996
145,1996
150,1996
155,1996
160,1996
165,1996
200,1996
205,1996
210,1996
211,1996
212,1996
220,1996
221,1996
223,1996
225,1996
230,1996
232,1996
235,1996
255,1996
290,1996
305,1996
310,1996
316,1996
317,1996
325,1996
331,1996
338,1996
339,1996
343,1996
344,1996
345,1996
346,1996
349,1996
350,1996
352,1996
355,1996
359,1996
360,1996
365,1996
366,1996
367,1996
368,1996
369,1996
370,1996
371,1996
372,1996
373,1996
375,1996
380,1996
385,1996
390,1996
395,1996
402,1996
403,1996
404,1996
411,1996
420,1996
432,1996
433,1996
434,1996
435,1996
436,1996
437,1996
438,1996
439,1996
450,1996
451,1996
452,1996
461,1996
471,1996
475,1996
481,1996
482,1996
483,1996
484,1996
490,1996
500,1996
501,1996
510,1996
516,1996
517,1996
520,1996
522,1996
530,1996
531,1996
540,1996
541,1996
551,1996
552,1996
553,1996
560,1996
565,1996
570,1996
571,1996
572,1996
580,1996
581,1996
590,1996
591,1996
