ccode,year,ingo_uia,polity2,xrcomp,xropen,xconst,parcomp,physint,disap,kill,polpris,tort,injud,amnesty,pop,gdppc,rentspc,military,execrlc,trade_gdp,fdi_net_in,public_trial,fair_trial,final_decision,legislative_ck,structad,imfstruct,wbimfstruct,britcol,common,hr_law,cat_ratify,cpr_ratify,ythblgap,latent,latent_sd,cwar,iwar,aibr_lag,ainr_lag,avmdia_lag,hro_shaming_lag,physint_lag,amnesty_lag,disap_lag,kill_lag,polpris_lag,tort_lag,latent_lag
42,1988,5.996452088619021,6,3,4,5,3,8,2,2,2,2,2,3,8.824048281236752,8.205404201487877,0.0,0,1,4.314390465958382,1.97421050071716,1,1,0,-1,0,0,0,0,0,0,0,1,34.5999984741211,0.333540984737486,0.224542752928373,0,0,1,0,0.0,1,6,3,2,2,1,1,0.223489586342935
42,1989,6.07073772800249,6,3,4,5,3,7,2,2,2,1,1,2,8.844578552870534,8.181001315490292,0.0,0,1,4.356647202758124,1.64508295059204,1,1,0,-1,0,0,0,0,0,0,0,1,34.0999984741211,0.383236860507607,0.225067321962181,0,0,0,0,0.0,0,8,3,2,2,2,2,0.333540984737486
42,1990,6.1070228877422545,6,3,4,5,3,5,2,1,1,1,1,2,8.86441176448348,8.144989730288408,0.0,0,1,4.350505610949807,1.87738347053528,1,1,0,-1,0,0,0,0,0,0,0,1,33.5,0.283808824173624,0.213243214533789,0,0,0,0,0.0,0,7,2,2,2,2,1,0.383236860507607
42,1991,6.111467339502679,6,3,4,5,3,5,2,1,1,1,1,2,8.883677664216794,8.195052170592785,0.0,0,1,4.420956765063609,1.49109780788422,1,1,0,-1,0,1,1,0,0,0,0,1,32.9000015258789,0.190250836611701,0.208659115680151,0,0,0,0,0.0,0,5,2,2,1,1,1,0.283808824173624
42,1992,6.161207321695077,6,3,4,5,3,4,2,1,1,0,1,2,8.902021484390275,8.29090720782953,0.0,0,1,4.395305164180356,1.59341073036194,1,1,0,-1,0,0,0,0,0,0,0,1,32.2999992370605,0.128824460162201,0.207165298961758,0,0,1,0,0.0,0,5,2,2,1,1,1,0.190250836611701
42,1993,6.1779441140506,6,3,4,5,3,5,2,1,1,1,0,2,8.91896348208543,8.373131116710203,0.0,0,1,4.3667524956038015,1.45880126953125,1,1,0,-1,0,1,1,0,0,0,0,1,31.7000007629395,0.189039724886788,0.20502012047221,0,0,2,0,0.0,0,4,2,2,1,1,0,0.128824460162201
42,1994,6.192362489474872,5,2,4,5,3,2,1,1,0,0,0,2,8.93526121477339,8.431238710260844,0.0,0,1,4.360139878317964,1.42511248588562,1,1,0,-1,0,0,0,0,0,0,0,1,31.1000003814697,0.0755747713035493,0.210107172981236,0,0,0,0,0.0,0,5,2,2,1,1,1,0.189039724886788
42,1995,6.182084906716632,5,2,4,5,3,4,2,1,0,1,0,2,8.951783350751645,8.470520783217808,0.0,0,1,4.318638980982163,2.53262901306152,1,1,0,-1,0,0,0,0,0,0,0,1,30.6000003814697,0.014574433116263,0.210116819773988,0,0,0,1,0.0,0,2,2,1,1,0,0,0.0755747713035493
42,1996,6.238324625039508,8,3,4,6,4,4,2,0,1,1,0,3,8.968420391644182,8.514483523579967,0.0,0,1,4.295309986308938,0.532213747501373,1,1,0,-1,0,0,0,0,0,0,0,1,30.1000003814697,-0.287079033336502,0.206760972534481,0,0,0,0,0.0,0,4,2,2,1,0,1,0.014574433116263
42,1997,6.2285110035911835,8,3,4,6,4,4,2,0,1,1,0,3,8.984539543225436,8.583937403228672,0.0,0,2,4.336197993681322,2.14663577079773,1,1,0,-1,0,0,0,0,0,0,0,1,29.6000003814697,-0.315948713963801,0.208254112850895,0,0,0,0,0.0,0,4,3,2,0,1,1,-0.287079033336502
42,1998,6.248042874508429,8,3,4,6,4,2,2,0,0,0,1,3,9.000261109991174,8.656513297065489,0.0,0,2,4.374234398644158,3.30542826652527,1,1,0,-1,0,0,0,0,0,0,0,1,29.2000007629395,-0.366979964201853,0.210513716874535,0,0,1,1,0.0,0,4,3,2,0,1,1,-0.315948713963801
42,1999,6.240275845170769,8,3,4,6,4,4,2,0,2,0,1,3,9.01556680974898,8.713159566165643,0.0,0,2,4.380680094034367,6.16240930557251,1,1,0,-1,0,0,0,0,0,0,0,1,28.7999992370605,-0.274193156378336,0.2179370634131,0,0,0,0,0.0,0,2,3,2,0,0,0,-0.366979964201853
