year,month,n_events,n_dissent_events,frac_dissent_events,pi,eta
1993.0,11.0,51366.0,158.0,0.003075964645874703,0.12680106211587422,-4.111056743913235
1993.0,12.0,49532.0,153.0,0.003088912218363886,0.13829972553242798,-3.9655925150528972
1994.0,1.0,52544.0,131.0,0.002493148599269184,0.13111196229598945,-4.105676261892626
1994.0,2.0,49598.0,166.0,0.0033469091495624825,0.12926703826234362,-4.086402063878959
1994.0,3.0,58905.0,178.0,0.0030218147865206687,0.13203607549443766,-4.091355457820463
1994.0,4.0,53798.0,187.0,0.0034759656492806424,0.13351986143813835,-4.061716452684466
1994.0,5.0,54934.0,125.0,0.002275457822113809,0.1261568373726599,-4.1695730345766675
1994.0,6.0,55956.0,147.0,0.0026270641218099937,0.1272612040787034,-4.1518237453846
1994.0,7.0,51140.0,133.0,0.0026007039499413376,0.12365679969131932,-4.198650596798346
1994.0,8.0,50229.0,167.0,0.0033247725417587448,0.12034246610576632,-4.201168089924709
1994.0,9.0,54884.0,146.0,0.002660155965308651,0.12061415927764836,-4.27684169825208
1994.0,10.0,56519.0,171.0,0.0030255312372830375,0.11548701328032504,-4.263754196044676
1994.0,11.0,53549.0,165.0,0.003081290033427328,0.12123625228867202,-4.216083109802315
1994.0,12.0,49847.0,143.0,0.002868778462094008,0.12229211948578128,-4.123731549790164
1995.0,1.0,59229.0,146.0,0.0024650086950649174,0.1134599269829972,-4.342579920371466
1995.0,2.0,54346.0,134.0,0.0024656828469436574,0.1184442779244265,-4.268403154344976
1995.0,3.0,61913.0,159.0,0.0025681197809829925,0.12012946826830155,-4.27033442550425
1995.0,4.0,52115.0,136.0,0.0026096133550801114,0.1259019940937918,-4.150831944342342
1995.0,5.0,58501.0,135.0,0.002307652860634861,0.12392267959310709,-4.171986980052843
1995.0,6.0,60933.0,155.0,0.002543777591781137,0.11158146655274638,-4.337205911282049
1995.0,7.0,55104.0,152.0,0.0027584204413472705,0.12088589087116111,-4.227095699263835
1995.0,8.0,55703.0,141.0,0.0025312819776313663,0.13373239976574866,-4.083580560077104
1995.0,9.0,58127.0,150.0,0.0025805563679529306,0.11577844398584076,-4.320991181092071
